# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.invertedFileNameIndex.requests,1785878144870000000,1785878204883000000,29
VFS.cache.segmentsCreated,1785878144870000000,1785878204883000000,97
VFS.ContentWriter.totalTasksExecutedSync,1785878144870000000,1785878204883000000,0
VFS.rootsCount,1785878144870000000,1785878204883000000,13.0
VFS.contentStorage.recordsReadSize,1785878144870000000,1785878204883000000,518733
VFS.contentStorage.recordsUncompressedSize,1785878144870000000,1785878204883000000,537960
VFS.contentStorage.recordsRead,1785878144870000000,1785878204883000000,30
Indexes.stubs.lookups,1785878144870000000,1785878204883000000,49
Indexes.allKeys.lookupDurationAvgMs,1785878144870000000,1785878204883000000,0.0
Indexing.writesQueuedMin,1785878144870000000,1785878204883000000,9223372036854775807
Indexing.writer_2.totalTimeSpentWritingMs,1785878144870000000,1785878204883000000,2699
Indexing.cache.totalCacheMisses,1785878144870000000,1785878204883000000,1156661
Indexes.allKeys.lookupDuration90PMs,1785878144870000000,1785878204883000000,0.0
Indexes.allKeys.lookups,1785878144870000000,1785878204883000000,3
Indexes.stubs.lookupDuration90PMs,1785878144870000000,1785878204883000000,0.0
Indexes.stubs.lookupDurationAvgMs,1785878144870000000,1785878204883000000,0.0
Indexes.entries.lookupDuration90PMs,1785878144870000000,1785878204883000000,0.0
Indexing.cache.totalCacheAccesses,1785878144870000000,1785878204883000000,3591597
Indexing.writesQueuedMax,1785878144870000000,1785878204883000000,0
Indexes.entries.lookups,1785878144870000000,1785878204883000000,18
Indexing.writer_3.totalTimeSpentWritingMs,1785878144870000000,1785878204883000000,2410
Indexing.writer_1.totalTimeSpentWritingMs,1785878144870000000,1785878204883000000,76
Indexes.entries.lookupDurationAvgMs,1785878144870000000,1785878204883000000,0.0
Indexes.stubs.lookupDurationMaxMs,1785878144870000000,1785878204883000000,0.0
Indexing.totalTimeIndexersSleptMs,1785878144870000000,1785878204883000000,7180
Indexes.allKeys.lookupDurationMaxMs,1785878144870000000,1785878204883000000,0.0
Indexing.cache.totalCacheEvicted,1785878144870000000,1785878204883000000,1156629
Indexing.writer_0.totalTimeSpentWritingMs,1785878144870000000,1785878204883000000,2737
Indexes.entries.lookupDurationMaxMs,1785878144870000000,1785878204883000000,0.0
compiler.ArtifactManagerBridge.getArtifacts.ms,1785878144870000000,1785878204883000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1785878144870000000,1785878204883000000,1
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1785878144870000000,1785878204883000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1785878144870000000,1785878204883000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1785878144870000000,1785878204883000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1785878144870000000,1785878204883000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1785878144870000000,1785878204883000000,0
compiler.ArtifactManagerBridge.commit.ms,1785878144870000000,1785878204883000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1785878144870000000,1785878204883000000,0
FilePageCache.WAL.entriesFlushedOnTruncate,1785878144870000000,1785878204883000000,2
FilePageCache.totalPageDisposalsUs,1785878144870000000,1785878204883000000,1590
